Subject,Intervention,Day,Trial,Timer,startTime,finishTime,fixID,Position,Distance,shotFired
1,2,3,1,26.17,25.762,26.034,D,1,5,0
1,2,3,1,26.17,26.153,26.493,B,3,7,0
1,2,3,1,26.17,26.561,27.071,A,4,9,0
1,2,3,2,9.05,9.406,9.712,D,3,9,0
1,2,3,2,9.05,10.324,11.616,B,2,9,1
1,2,3,3,23.92,24.327,24.616,D,2,7,0
1,2,3,3,23.92,24.701,24.888,B,1,7,0
1,2,3,3,23.92,25.092,27.37,C,3,9,1
1,2,3,4,32.16,32.446,32.633,D,2,5,0
1,2,3,4,32.16,33.109,34.452,D,2,5,1
1,2,3,4,32.16,34.979,35.574,C,1,9,0
1,2,3,4,32.16,36.067,37.155,A,4,7,1
1,2,3,5,38.69,39.078,39.265,A,3,7,0
1,2,3,5,38.69,39.367,41.407,C,2,5,1
1,2,3,5,38.69,41.747,42.121,D,1,7,0
1,2,3,5,38.69,42.631,44.518,B,4,9,1
1,2,3,6,37.55,37.987,38.225,D,3,5,0
1,2,3,6,37.55,38.293,38.582,B,2,5,0
1,2,3,6,37.55,38.735,40.911,D,3,5,1
1,2,3,7,33.21,33.425,33.697,A,3,9,0
1,2,3,7,33.21,33.768,33.989,D,2,7,0
1,2,3,7,33.21,34.533,35.145,C,4,9,0
1,2,3,8,31.32,31.711,31.949,B,2,7,0
1,2,3,8,31.32,32.102,32.476,C,1,5,0
1,2,3,8,31.32,32.731,32.918,D,3,9,0
1,2,3,8,31.32,33.088,34.329,A,4,5,1
1,2,3,9,28.86,29.265,29.503,D,3,5,0
1,2,3,9,28.86,29.588,30.013,B,4,9,0
1,2,3,9,28.86,30.098,30.302,C,2,7,0
1,2,3,9,28.86,30.404,32.07,D,3,5,1
1,2,3,9,28.86,32.495,34.382,C,2,7,1
1,2,3,10,21.16,21.495,21.682,D,3,5,0
1,2,3,10,21.16,21.75,22.005,B,4,9,0
1,2,3,10,21.16,22.09,24.64,C,2,7,1
2,0,1,1,24.78,25.373,25.696,B,2,5,0
2,0,1,1,24.78,25.849,26.087,A,1,5,0
2,0,1,1,24.78,26.189,26.529,B,2,5,0
2,0,1,1,24.78,26.818,28.416,B,2,5,1
2,0,1,2,10.95,11.883,12.427,C,2,5,0
2,0,1,2,10.95,12.869,13.464,C,2,5,0
2,0,1,2,10.95,13.549,14.093,D,4,7,0
2,0,1,2,10.95,14.484,14.722,A,3,9,0
2,0,1,2,10.95,15.249,16.728,A,3,9,0
2,0,1,3,10.01,11.25,11.488,C,3,5,0
2,0,1,3,10.01,11.624,11.879,B,1,9,0
2,0,1,3,10.01,12.049,12.559,D,2,9,0
2,0,1,3,10.01,12.95,13.732,A,4,7,0
2,0,1,3,10.01,13.717,14.21,A,4,7,1
2,0,1,4,14.57,15.695,17.837,B,4,5,1
2,0,1,4,14.57,18.252,19.765,D,2,9,1
2,0,1,5,49.21,51.15,51.507,A,2,5,0
2,0,1,5,49.21,51.626,52.306,D,1,7,0
2,0,1,5,49.21,52.442,54.703,C,3,9,1
2,0,1,7,15.64,17.15,17.524,D,2,5,0
2,0,1,7,15.64,17.626,18.136,C,1,9,0
2,0,1,7,15.64,18.238,18.51,A,3,9,0
2,0,1,7,15.64,18.629,19.139,B,4,7,0
2,0,1,8,16.95,18.22,18.679,C,1,5,0
2,0,1,8,16.95,18.764,19.121,B,2,5,0
2,0,1,8,16.95,20.107,21.093,D,3,9,1
2,0,1,9,33.63,34.824,36.371,A,1,7,1
2,0,1,9,33.63,36.723,38.389,D,2,5,1
2,0,1,10,37.55,39.934,40.291,A,1,7,0
2,0,1,10,37.55,40.376,40.699,B,2,9,0
2,0,1,10,37.55,41.549,42.008,C,3,5,1
2,1,2,1,31.61,33.087,33.767,B,2,5,0
2,1,2,1,31.61,33.835,34.277,A,3,7,0
2,1,2,1,31.61,34.413,35.807,C,4,5,1
2,1,2,2,6.91,7.985,8.325,C,2,5,0
2,1,2,2,6.91,8.393,8.716,D,3,7,0
2,1,2,2,6.91,8.767,9.175,B,4,9,0
2,1,2,3,24.06,24.436,24.895,C,1,7,0
2,1,2,3,24.06,24.946,25.439,A,2,9,0
2,1,2,3,24.06,25.507,25.762,D,3,5,0
2,1,2,3,24.06,25.796,26.663,A,2,9,1
2,1,2,4,11.88,12.561,13.003,D,1,5,0
2,1,2,4,11.88,13.071,13.309,A,2,5,0
2,1,2,4,11.88,13.428,14.72,D,1,5,1
2,1,2,4,11.88,14.975,16.42,A,2,5,1
2,1,2,5,32.39,32.853,33.21,B,4,7,0
2,1,2,5,32.39,33.924,34.264,C,1,5,0
2,1,2,5,32.39,34.315,34.638,D,2,9,0
2,1,2,5,32.39,34.689,35.675,A,3,7,1
2,1,2,5,32.39,36.525,37.8,B,4,7,1
2,1,2,6,32.09,32.395,32.616,B,1,7,0
2,1,2,6,32.09,32.684,32.888,A,2,5,0
2,1,2,6,32.09,32.956,33.245,D,3,9,0
2,1,2,6,32.09,33.296,34.571,C,4,9,0
2,1,2,7,7.25,8.064,8.302,D,2,5,0
2,1,2,7,7.25,8.37,8.574,A,3,5,0
2,1,2,7,7.25,8.676,11.617,C,4,7,0
